feature,importance
noaa_kp_roll_24h_std,3.653436178126869
Dst,3.4871472289762506
noaa_dst_roll_24h_std,3.460240060342766
noaa_dst_roll_6h_std,3.448370497930014
noaa_dst_roll_12h_slope,3.134951425661213
hour_sin,3.1031001007427785
hour_cos,3.0855034330213225
noaa_kp_roll_12h_mean,3.059280900342808
noaa_dst_roll_12h_mean,2.6767110198415964
noaa_dst_roll_24h_mean,2.6725042285737506
Kp,2.542497649002064
noaa_dst_roll_24h_slope,2.3874748926234037
noaa_kp_roll_6h_std,2.323582268127233
noaa_dst_roll_6h_slope,2.314392916295442
noaa_kp_noaa_dst_ratio,2.310845063175386
noaa_dst_roll_12h_std,2.3106763316508068
noaa_kp_roll_24h_mean,2.272450812015482
noaa_dst_roll_12h_min,2.2568728493791124
noaa_kp_roll_12h_std,2.245492027496105
noaa_dst_roll_6h_max,2.2422611166047592
day_of_week,2.175993353687239
noaa_dst_roll_1h_slope,2.1185839390539187
noaa_dst_roll_6h_mean,1.9821432385296942
noaa_kp_roll_6h_slope,1.82758858044632
noaa_dst_roll_24h_max,1.8144362356806405
noaa_dst_roll_12h_max,1.79517232920922
month,1.7913275052367248
noaa_dst_roll_24h_min,1.7510260608673962
noaa_dst_roll_3h_std,1.743549410995911
noaa_kp_roll_6h_mean,1.7319758967896304
noaa_kp_roll_12h_min,1.5185264198668242
noaa_dst_roll_6h_min,1.5060559880815259
noaa_kp_roll_6h_max,1.3480290167321785
noaa_kp_roll_3h_slope,1.3303367106773356
noaa_dst_roll_3h_mean,1.3281023729610881
noaa_kp_roll_3h_mean,1.3130892725428953
noaa_kp_roll_12h_max,1.2670758076494764
noaa_dst_roll_3h_min,1.2641151790055325
hour,1.2288889710351827
noaa_kp_roll_24h_min,1.2151593127367712
noaa_kp_roll_24h_slope,1.1462992907981187
noaa_kp_roll_1h_slope,1.1244202716325555
noaa_kp_roll_3h_std,1.0957406394971618
noaa_dst_roll_3h_max,0.9744855002520835
noaa_kp_roll_12h_slope,0.8772949254474393
noaa_kp_roll_3h_min,0.8734977393301587
noaa_dst_roll_3h_slope,0.8687134569862398
noaa_kp_roll_6h_min,0.856433414004619
noaa_kp_roll_3h_max,0.6816236388263619
noaa_dst_roll_1h_min,0.6310704046081271
noaa_kp_roll_1h_min,0.5532168317136413
noaa_kp_roll_24h_max,0.5122324693015615
noaa_kp_noaa_dst_interaction,0.44620509575385364
esa_geomagnetic_index,0.3107392547733132
dst_intense_storm,0.3029813183641093
electron_flux,0.2920436195198002
noaa_dst_roll_1h_max,0.2641346048626601
noaa_kp,0.23956770202502703
noaa_kp_roll_1h_mean,0.22272060116442724
noaa_dst,0.19775272710194575
