number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,state
0,0.12540511151498132,2025-09-26 15:57:46.036749,2025-09-26 15:58:33.298470,0 days 00:00:47.261721,0.15601864044243652,166,10,5.395030966670228,0.03574712922600244,COMPLETE
1,0.12219838617841758,2025-09-26 15:58:33.300336,2025-09-26 15:58:34.115809,0 days 00:00:00.815473,0.7080725777960455,166,4,7.348118405270449,0.01699897838270077,COMPLETE
2,0.12120437107649384,2025-09-26 15:58:34.116851,2025-09-26 15:58:59.028644,0 days 00:00:24.911793,0.18182496720710062,79,10,6.798962421591129,0.010725209743171996,COMPLETE
3,0.1245599431177705,2025-09-26 15:58:59.030067,2025-09-26 15:59:00.992375,0 days 00:00:01.962308,0.2912291401980419,128,6,3.347776308515933,0.018659959624904916,COMPLETE
4,0.15640399779397743,2025-09-26 15:59:00.993383,2025-09-26 15:59:01.701991,0 days 00:00:00.708608,0.45606998421703593,114,4,1.9594972058679163,0.08012737503998542,COMPLETE
5,0.21232980239784577,2025-09-26 15:59:01.703115,2025-09-26 15:59:02.975476,0 days 00:00:01.272361,0.046450412719997725,164,5,3.2676417657817622,0.14447746112718687,COMPLETE
6,0.17031186682651317,2025-09-26 15:59:02.976462,2025-09-26 15:59:04.528470,0 days 00:00:01.552008,0.9656320330745594,244,5,1.1615865989246452,0.07896186801026692,COMPLETE
7,0.24738231895836255,2025-09-26 15:59:04.529381,2025-09-26 15:59:07.063849,0 days 00:00:02.534468,0.4401524937396013,185,6,1.252195428706039,0.1563510870813346,COMPLETE
8,0.11953034178098117,2025-09-26 15:59:07.065040,2025-09-26 15:59:13.126867,0 days 00:00:06.061827,0.2587799816000169,235,7,1.0824018381500955,0.015144860262751412,COMPLETE
9,0.1826163788439009,2025-09-26 15:59:13.127959,2025-09-26 15:59:15.513809,0 days 00:00:02.385850,0.18485445552552704,154,6,3.3118298880723813,0.09519754482692679,COMPLETE
10,0.24398292640769215,2025-09-26 15:59:15.514814,2025-09-26 15:59:18.265209,0 days 00:00:02.750395,0.6400885024675561,36,8,1.77880384993949,0.2768860339309292,COMPLETE
11,0.2397770298494504,2025-09-26 15:59:18.266732,2025-09-26 15:59:21.626926,0 days 00:00:03.360194,0.6315438506075578,51,8,1.7354437006206824,0.2409627418111429,COMPLETE
12,0.26561142096824436,2025-09-26 15:59:21.628925,2025-09-26 15:59:33.782431,0 days 00:00:12.153506,0.4818963296633297,209,8,1.8710392130566942,0.2956426848543169,COMPLETE
13,0.23452752010301758,2025-09-26 15:59:33.784041,2025-09-26 15:59:46.067039,0 days 00:00:12.282998,0.4000410597964097,206,8,2.244230710868361,0.1757612316308147,COMPLETE
14,0.25070508834274985,2025-09-26 15:59:46.068075,2025-09-26 16:00:11.072498,0 days 00:00:25.004423,0.8052519186638232,204,9,1.3420200599466519,0.14760333599579356,COMPLETE
