feature,importance
hour,5.1194059950323885
noaa_kp_roll_24h_std,4.734034904281773
Dst,4.473609749382551
noaa_dst_roll_12h_mean,3.890107726584136
Kp,3.8597977833009476
noaa_kp_roll_6h_std,3.4369483668925356
noaa_dst_roll_24h_mean,3.4119875185095303
noaa_dst_roll_24h_max,3.3666152366286672
noaa_kp_roll_12h_mean,3.246475971750427
noaa_kp_roll_24h_mean,3.214364809379699
noaa_kp_roll_12h_std,3.1489649165486737
noaa_dst_roll_12h_std,2.9590187227411935
noaa_dst_roll_6h_std,2.8102062434550605
day_of_week,2.6137597560023518
noaa_dst_roll_24h_min,2.5884559993833927
noaa_dst_roll_6h_min,2.5215282222497537
noaa_dst_roll_24h_std,2.491488784523241
noaa_dst_roll_3h_std,2.439468492872345
noaa_kp_roll_6h_mean,2.2131268635167824
noaa_kp_roll_3h_mean,2.1685862166542353
month,2.119352637712091
noaa_dst_roll_6h_max,2.040324192990228
noaa_dst_roll_12h_min,1.916687585859557
noaa_dst_roll_6h_mean,1.8073247250872269
noaa_dst_diff_3h,1.7965455373480739
noaa_dst_roll_3h_mean,1.6811459498110022
noaa_dst_roll_12h_max,1.656378054146892
noaa_kp_diff_3h,1.5576471744784017
noaa_kp_roll_12h_max,1.4235228449444617
noaa_dst_roll_3h_max,1.4118620858157067
noaa_kp_noaa_dst_interaction,1.4117511255609454
noaa_dst_pct_change_1h,1.318995141499289
noaa_kp_roll_6h_min,1.3069796317873736
noaa_dst_roll_3h_min,1.2861549576742561
noaa_kp_roll_3h_max,1.2689080973862892
noaa_kp_roll_6h_max,1.2050510397356395
noaa_kp_roll_12h_min,1.1854175454907943
noaa_dst_diff_1h,1.1306809299748086
noaa_kp_pct_change_1h,1.0463737301357765
noaa_kp_roll_24h_min,1.035369267983552
noaa_kp_roll_24h_max,0.925335408698745
noaa_kp,0.903698519221915
noaa_kp_roll_3h_min,0.8750616415010871
noaa_kp_roll_3h_std,0.7753730991464607
noaa_kp_diff_1h,0.5875475373089026
noaa_dst,0.34069132474072605
dst_intense_storm,0.3172456326444883
esa_geomagnetic_index,0.2827368489994178
dst_severe_storm,0.25178309322720244
electron_flux,0.24841849479266073
alerts_is_storm_alert_active,0.1739606109551305
alerts_storm_alert_level,0.0027010082827471516
is_storm_alert_active,0.0010222453684918845
xray_flare,0.0
goes_xray_flux_long,0.0
goes_proton_proton_flux_gt10mev,0.0
proton_flux_log,0.0
proton_storm,0.0
xray_flux_log,0.0
goes_xray_flux_long_roll_6h_max,0.0
goes_xray_flux_long_roll_3h_mean,0.0
goes_xray_flux_long_roll_3h_std,0.0
goes_xray_flux_long_roll_3h_max,0.0
goes_xray_flux_long_roll_3h_min,0.0
goes_xray_flux_long_roll_6h_mean,0.0
goes_xray_flux_long_roll_6h_std,0.0
goes_xray_flux_long_roll_24h_std,0.0
goes_xray_flux_long_roll_24h_mean,0.0
goes_xray_flux_long_roll_12h_min,0.0
goes_xray_flux_long_roll_12h_max,0.0
goes_xray_flux_long_roll_12h_std,0.0
goes_xray_flux_long_roll_12h_mean,0.0
goes_xray_flux_long_roll_6h_min,0.0
goes_xray_flux_long_roll_24h_max,0.0
goes_proton_proton_flux_gt10mev_roll_6h_max,0.0
goes_xray_flux_long_roll_24h_min,0.0
goes_proton_proton_flux_gt10mev_roll_3h_mean,0.0
goes_proton_proton_flux_gt10mev_roll_3h_std,0.0
goes_proton_proton_flux_gt10mev_roll_3h_max,0.0
goes_proton_proton_flux_gt10mev_roll_3h_min,0.0
goes_proton_proton_flux_gt10mev_roll_6h_mean,0.0
goes_proton_proton_flux_gt10mev_roll_6h_std,0.0
goes_proton_proton_flux_gt10mev_roll_24h_std,0.0
goes_proton_proton_flux_gt10mev_roll_24h_mean,0.0
goes_proton_proton_flux_gt10mev_roll_12h_min,0.0
goes_proton_proton_flux_gt10mev_roll_12h_max,0.0
goes_proton_proton_flux_gt10mev_roll_12h_std,0.0
goes_proton_proton_flux_gt10mev_roll_12h_mean,0.0
goes_proton_proton_flux_gt10mev_roll_6h_min,0.0
goes_proton_proton_flux_gt10mev_roll_24h_max,0.0
goes_proton_proton_flux_gt10mev_roll_24h_min,0.0
goes_xray_flux_long_diff_1h,0.0
goes_xray_flux_long_pct_change_1h,0.0
goes_xray_flux_long_diff_3h,0.0
goes_proton_proton_flux_gt10mev_diff_1h,0.0
goes_proton_proton_flux_gt10mev_diff_3h,0.0
goes_proton_proton_flux_gt10mev_pct_change_1h,0.0
goes_proton_proton_flux_gt10mev_goes_xray_flux_long_interaction,0.0
