number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,state
0,0.32554257095158595,2025-09-26 15:46:29.009483,2025-09-26 15:47:13.371533,0 days 00:00:44.362050,0.15601864044243652,166,10,5.395030966670228,0.03574712922600244,COMPLETE
1,0.31719532554257096,2025-09-26 15:47:13.372798,2025-09-26 15:47:14.411459,0 days 00:00:01.038661,0.7080725777960455,166,4,7.348118405270449,0.01699897838270077,COMPLETE
2,0.2904841402337229,2025-09-26 15:47:14.413264,2025-09-26 15:47:40.483869,0 days 00:00:26.070605,0.18182496720710062,79,10,6.798962421591129,0.010725209743171996,COMPLETE
3,0.2904841402337229,2025-09-26 15:47:40.485332,2025-09-26 15:47:42.430211,0 days 00:00:01.944879,0.2912291401980419,128,6,3.347776308515933,0.018659959624904916,COMPLETE
4,0.3038397328881469,2025-09-26 15:47:42.431232,2025-09-26 15:47:43.145484,0 days 00:00:00.714252,0.45606998421703593,114,4,1.9594972058679163,0.08012737503998542,COMPLETE
5,0.33889816360601,2025-09-26 15:47:43.146466,2025-09-26 15:47:44.479006,0 days 00:00:01.332540,0.046450412719997725,164,5,3.2676417657817622,0.14447746112718687,COMPLETE
6,0.2888146911519199,2025-09-26 15:47:44.480058,2025-09-26 15:47:46.058469,0 days 00:00:01.578411,0.9656320330745594,244,5,1.1615865989246452,0.07896186801026692,COMPLETE
7,0.3088480801335559,2025-09-26 15:47:46.059388,2025-09-26 15:47:48.533765,0 days 00:00:02.474377,0.4401524937396013,185,6,1.252195428706039,0.1563510870813346,COMPLETE
8,0.29716193656093487,2025-09-26 15:47:48.534880,2025-09-26 15:47:54.185478,0 days 00:00:05.650598,0.2587799816000169,235,7,1.0824018381500955,0.015144860262751412,COMPLETE
9,0.32554257095158595,2025-09-26 15:47:54.187208,2025-09-26 15:47:56.405010,0 days 00:00:02.217802,0.18485445552552704,154,6,3.3118298880723813,0.09519754482692679,COMPLETE
10,0.3555926544240401,2025-09-26 15:47:56.406504,2025-09-26 15:47:58.909381,0 days 00:00:02.502877,0.01451346688005159,36,8,2.0867063441435088,0.27532107458737226,COMPLETE
11,0.328881469115192,2025-09-26 15:47:58.910449,2025-09-26 15:48:02.271008,0 days 00:00:03.360559,0.00372662377148268,51,8,2.120997786482511,0.240711674717494,COMPLETE
12,0.332220367278798,2025-09-26 15:48:02.273327,2025-09-26 15:48:05.327712,0 days 00:00:03.054385,0.01699638639998655,43,8,2.2490179991380623,0.29561883623953844,COMPLETE
13,0.34223706176961605,2025-09-26 15:48:05.328801,2025-09-26 15:48:17.591984,0 days 00:00:12.263183,0.6458564407032411,207,8,4.443274983509871,0.17121563270518414,COMPLETE
14,0.333889816360601,2025-09-26 15:48:17.594041,2025-09-26 15:48:41.800858,0 days 00:00:24.206817,0.6701009264618587,208,9,4.8563716536623165,0.1741580447437907,COMPLETE
