Year Day Hour BZ_GSM Speed Proton_Density Plasma_Temp
2025 227 21 9.68 718.4 4.1 192494.4
2025 227 22 -6.59 542.7 5.36 151479.7
2025 227 23 7.38 999.9 6.59 93595.9
2025 228 0 9.89 456.8 12.37 171176.4
2025 228 1 3.68 726.0 10.66 107606.4
2025 228 2 0.85 431.8 9.84 92385.6
2025 228 3 -1.47 596.7 2.72 62888.3
2025 228 4 -9.19 429.9 11.51 58675.4
2025 228 5 -1.36 491.6 12.51 190430.9
2025 228 6 -2.01 785.6 8.92 173910.5
2025 228 7 2.97 610.3 11.66 175381.7
2025 228 8 9.53 700.5 2.03 140872.7
2025 228 9 3.3 359.7 6.29 133419.8
2025 228 10 7.55 734.1 2.4 82505.9
2025 228 11 -4.96 644.0 3.26 94192.8
2025 228 12 -6.54 682.5 4.94 118377.6
2025 228 13 -1.2 744.0 11.94 136836.0
2025 228 14 5.4 456.2 11.15 148915.5
2025 228 15 3.61 364.1 8.59 194556.5
2025 228 16 -3.3 309.2 3.37 86066.3
2025 228 17 0.03 765.4 8.68 121581.0
2025 228 18 8.65 526.8 8.15 195432.4
2025 228 19 -0.33 484.3 10.4 50301.8
2025 228 20 3.4 757.8 7.57 50941.3
2025 228 21 7.86 682.8 11.55 51753.6
2025 228 22 -1.2 675.8 12.97 139252.4
2025 228 23 2.55 784.8 2.75 75408.3
2025 229 0 2.28 642.2 6.71 108732.0
2025 229 1 -3.7 391.7 8.49 124569.9
2025 229 2 7.24 696.8 7.66 66484.6
2025 229 3 4.54 574.3 10.11 63449.3
2025 229 4 7.63 780.9 13.65 180005.9
2025 229 5 -4.11 584.1 3.54 95312.2
2025 229 6 7.83 618.2 13.47 94564.1
2025 229 7 9.7 582.7 4.73 156010.1
2025 229 8 -9.84 604.3 3.35 92251.6
2025 229 9 -5.13 397.1 8.61 51116.5
2025 229 10 -9.15 375.5 13.78 129547.0
2025 229 11 0.38 459.7 8.92 160119.3
2025 229 12 -6.78 718.2 10.26 163053.1
2025 229 13 5.15 606.1 11.85 189620.6
2025 229 14 1.64 760.2 13.33 103881.5
2025 229 15 -1.78 417.8 4.23 66337.2
2025 229 16 -2.78 365.6 14.65 88536.1
2025 229 17 -2.23 770.3 1.32 169872.7
2025 229 18 -6.95 671.0 1.44 173372.9
2025 229 19 9.8 520.7 3.72 164817.3
2025 229 20 -4.03 403.4 6.32 161387.1
2025 229 21 -1.18 727.3 11.05 150717.8
2025 229 22 6.63 441.1 3.28 107852.9
2025 229 23 -5.23 456.8 7.36 108385.0
2025 230 0 0.77 447.4 6.34 96818.2
2025 230 1 -7.8 700.0 14.14 50258.9
2025 230 2 -2.66 352.0 2.16 197950.7
2025 230 3 -6.99 389.6 5.0 153882.7
2025 230 4 6.29 338.3 3.11 54059.6
2025 230 5 -0.41 529.7 3.4 88062.4
2025 230 6 7.55 584.5 7.35 102171.6
2025 230 7 -0.72 554.4 4.48 93647.8
2025 230 8 -7.08 762.0 8.64 134119.8
2025 230 9 2.57 480.4 13.37 130141.5
2025 230 10 5.21 476.0 14.82 90830.0
2025 230 11 3.58 383.9 9.75 65937.2
2025 230 12 8.78 387.6 3.5 187487.2
2025 230 13 5.12 347.7 7.48 128756.4
2025 230 14 -5.83 661.7 10.94 196597.2
2025 230 15 7.17 510.8 2.18 124717.2
2025 230 16 4.26 714.4 13.58 97996.3
2025 230 17 0.59 678.8 10.79 119793.1
2025 230 18 7.65 506.9 14.19 120968.2
2025 230 19 7.57 637.7 10.97 180992.7
2025 230 20 -7.96 459.6 5.46 77337.5
2025 230 21 -7.69 582.4 2.39 100744.8
2025 230 22 -5.24 630.9 13.68 164813.1
2025 230 23 -1.92 362.0 5.99 63540.5
2025 231 0 3.01 743.8 5.12 130863.7
2025 231 1 -1.18 580.4 3.04 150901.6
2025 231 2 5.01 400.5 8.38 74597.0
2025 231 3 -3.08 507.1 3.75 147535.4
2025 231 4 6.71 328.2 2.43 86849.5
2025 231 5 8.98 623.0 11.47 144327.0
2025 231 6 4.77 390.5 4.27 89938.2
2025 231 7 -2.37 321.1 4.39 195869.6
2025 231 8 -7.16 357.2 7.63 82094.4
2025 231 9 7.14 658.5 11.74 87382.5
2025 231 10 3.9 556.6 13.96 91195.7
2025 231 11 8.4 692.7 3.82 55593.5
2025 231 12 -1.38 331.7 7.24 148455.1
2025 231 13 4.97 769.9 4.98 103896.5
2025 231 14 9.14 365.4 10.16 161615.5
2025 231 15 2.71 617.4 6.14 105653.2
2025 231 16 -5.18 487.7 2.99 152928.3
2025 231 17 -4.43 695.3 2.67 168336.4
2025 231 18 -9.24 321.9 2.74 88988.7
2025 231 19 -3.48 478.6 3.12 105339.6
2025 231 20 1.64 594.8 5.35 154889.7
2025 231 21 4.63 312.6 8.93 140673.8
2025 231 22 4.35 340.4 14.28 52536.3
2025 231 23 0.08 678.2 11.17 89133.9
2025 232 0 -2.05 735.5 6.85 107528.1
2025 232 1 0.97 737.9 11.49 177296.9
2025 232 2 5.41 753.6 2.18 156550.3
2025 232 3 3.53 405.0 4.51 152036.2
2025 232 4 -6.24 999.9 7.66 161671.4
2025 232 5 -9.74 730.3 2.0 52552.5
2025 232 6 0.71 999.9 7.24 151788.9
2025 232 7 5.72 745.0 2.29 197323.8
2025 232 8 7.35 615.0 11.74 74574.6
2025 232 9 1.45 767.4 2.82 134016.9
