Date Time SML SMU
2025-09-25 20:00:05 -231 296
2025-09-25 20:01:05 -478 242
2025-09-25 20:02:05 -96 107
2025-09-25 20:03:05 -345 410
2025-09-25 20:04:05 -930 311
2025-09-25 20:05:05 -428 61
2025-09-25 20:06:05 -112 369
2025-09-25 20:07:05 -655 425
2025-09-25 20:08:05 -583 261
2025-09-25 20:09:05 -655 450
2025-09-25 20:10:05 -367 181
2025-09-25 20:11:05 -128 297
2025-09-25 20:12:05 -863 417
2025-09-25 20:13:05 -621 382
2025-09-25 20:14:05 -954 139
2025-09-25 20:15:05 -90 127
2025-09-25 20:16:05 -808 249
2025-09-25 20:17:05 -897 330
2025-09-25 20:18:05 -772 65
2025-09-25 20:19:05 -113 374
2025-09-25 20:20:05 -855 426
2025-09-25 20:21:05 -903 273
2025-09-25 20:22:05 -398 226
2025-09-25 20:23:05 -706 182
2025-09-25 20:24:05 -581 277
2025-09-25 20:25:05 -670 486
2025-09-25 20:26:05 -243 409
2025-09-25 20:27:05 -144 54
2025-09-25 20:28:05 -584 239
2025-09-25 20:29:05 -316 292
2025-09-25 20:30:05 -447 118
2025-09-25 20:31:05 -310 408
2025-09-25 20:32:05 -417 391
2025-09-25 20:33:05 -94 285
2025-09-25 20:34:05 -298 319
2025-09-25 20:35:05 -928 86
2025-09-25 20:36:05 -328 199
2025-09-25 20:37:05 -889 59
2025-09-25 20:38:05 -733 221
2025-09-25 20:39:05 -654 54
2025-09-25 20:40:05 -358 244
2025-09-25 20:41:05 -870 330
2025-09-25 20:42:05 -757 308
2025-09-25 20:43:05 -769 75
2025-09-25 20:44:05 -645 349
2025-09-25 20:45:05 -66 460
2025-09-25 20:46:05 -750 153
2025-09-25 20:47:05 -983 56
2025-09-25 20:48:05 -116 118
2025-09-25 20:49:05 -385 347
2025-09-25 20:50:05 -218 394
2025-09-25 20:51:05 -635 350
2025-09-25 20:52:05 -793 473
2025-09-25 20:53:05 -55 351
2025-09-25 20:54:05 -857 444
2025-09-25 20:55:05 -675 251
2025-09-25 20:56:05 -647 182
2025-09-25 20:57:05 -489 86
2025-09-25 20:58:05 -510 296
2025-09-25 20:59:05 -333 103
2025-09-25 21:00:05 -683 257
2025-09-25 21:01:05 -904 291
2025-09-25 21:02:05 -809 97
2025-09-25 21:03:05 -510 240
2025-09-25 21:04:05 -976 327
2025-09-25 21:05:05 -92 225
2025-09-25 21:06:05 -181 106
2025-09-25 21:07:05 -400 380
2025-09-25 21:08:05 -603 385
2025-09-25 21:09:05 -199 239
2025-09-25 21:10:05 -929 244
2025-09-25 21:11:05 -927 486
2025-09-25 21:12:05 -570 433
2025-09-25 21:13:05 -969 310
2025-09-25 21:14:05 -394 105
2025-09-25 21:15:05 -877 327
2025-09-25 21:16:05 -676 160
2025-09-25 21:17:05 -683 53
2025-09-25 21:18:05 -916 282
2025-09-25 21:19:05 -332 51
2025-09-25 21:20:05 -347 86
2025-09-25 21:21:05 -608 163
2025-09-25 21:22:05 -456 286
2025-09-25 21:23:05 -455 362
2025-09-25 21:24:05 -196 273
2025-09-25 21:25:05 -822 129
2025-09-25 21:26:05 -987 495
2025-09-25 21:27:05 -798 420
2025-09-25 21:28:05 -627 466
2025-09-25 21:29:05 -387 193
2025-09-25 21:30:05 -104 445
2025-09-25 21:31:05 -989 112
2025-09-25 21:32:05 -502 84
2025-09-25 21:33:05 -235 173
2025-09-25 21:34:05 -152 73
2025-09-25 21:35:05 -237 400
2025-09-25 21:36:05 -518 315
2025-09-25 21:37:05 -543 292
2025-09-25 21:38:05 -959 347
2025-09-25 21:39:05 -59 433
2025-09-25 21:40:05 -833 63
2025-09-25 21:41:05 -64 186
2025-09-25 21:42:05 -953 138
2025-09-25 21:43:05 -514 342
2025-09-25 21:44:05 -536 426
2025-09-25 21:45:05 -522 56
2025-09-25 21:46:05 -672 488
2025-09-25 21:47:05 -752 233
2025-09-25 21:48:05 -773 298
2025-09-25 21:49:05 -295 148
2025-09-25 21:50:05 -875 306
2025-09-25 21:51:05 -721 452
2025-09-25 21:52:05 -718 345
2025-09-25 21:53:05 -62 403
2025-09-25 21:54:05 -673 456
2025-09-25 21:55:05 -686 153
2025-09-25 21:56:05 -444 304
2025-09-25 21:57:05 -932 437
2025-09-25 21:58:05 -664 166
2025-09-25 21:59:05 -392 242
2025-09-25 22:00:05 -747 488
2025-09-25 22:01:05 -94 471
2025-09-25 22:02:05 -930 75
2025-09-25 22:03:05 -583 483
2025-09-25 22:04:05 -305 166
2025-09-25 22:05:05 -578 493
2025-09-25 22:06:05 -167 64
2025-09-25 22:07:05 -648 136
2025-09-25 22:08:05 -804 381
2025-09-25 22:09:05 -260 140
2025-09-25 22:10:05 -515 484
2025-09-25 22:11:05 -829 397
2025-09-25 22:12:05 -962 287
2025-09-25 22:13:05 -386 390
2025-09-25 22:14:05 -483 350
2025-09-25 22:15:05 -649 250
2025-09-25 22:16:05 -906 445
2025-09-25 22:17:05 -135 95
2025-09-25 22:18:05 -230 438
2025-09-25 22:19:05 -454 489
2025-09-25 22:20:05 -725 403
2025-09-25 22:21:05 -662 475
2025-09-25 22:22:05 -279 70
2025-09-25 22:23:05 -166 379
